"ID","Sex","Treatment","Familiarity","Host","Status","Experiment","HostStrain","Line","Day","Wt","Pct"
10757,"F","1X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","H",0,21.5,1
10777,"F","1X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","H",0,19,1
10766,"F","1XP","FAM","BL6F","Passaged","HK68BL6","C57BL/6","E+F+G+H",0,20.3,1
10775,"F","1XP","FAM","BL6F","Passaged","HK68BL6","C57BL/6","E+F+G+H",0,22.4,1
10756,"F","1XP","FAM","BL6F","Passaged","HK68BL6","C57BL/6","E+F+G+H",0,19.8,1
10771,"F","1XP","FAM","BL6F","Passaged","HK68BL6","C57BL/6","E+F+G+H",0,19.6,1
10746,"F","1XP","FAM","BL6F","Passaged","HK68BL6","C57BL/6","E+F+G+H",0,20.4,1
10740,"F","1XP","FAM","BL6F","Passaged","HK68BL6","C57BL/6","E+F+G+H",0,20.4,1
10769,"F","2X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EF",0,19.1,1
10738,"F","2X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EF",0,20.7,1
10744,"F","2X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EF",0,20.1,1
10774,"F","2X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EF",0,20.6,1
10754,"F","2X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","GH",0,19.4,1
10762,"F","2X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","GH",0,18.3,1
10764,"F","2X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","GH",0,21.7,1
10772,"F","2X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","GH",0,19,1
10765,"F","4X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EFGH",0,21.5,1
10760,"F","4X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EFGH",0,19.9,1
10739,"F","4X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EFGH",0,21.1,1
10745,"F","4X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EFGH",0,21.8,1
10755,"F","4X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EFGH",0,19.6,1
10776,"F","4X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","EFGH",0,19.3,1
8335,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,20.8,1
8336,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,22.3,1
8337,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,20,1
8338,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,21,1
8339,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,21,1
6642,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,26,1
6774,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,19.4,1
6827,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,18.8,1
6828,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,20.9,1
10605,"M","STOCK","FAM","BALBM","Unpassaged","HK68BALB","BALB/C","Stock",0,28.6,1
6831,"M","STOCK","FAM","BALBM","Unpassaged","HK68BALB","BALB/C","Stock",0,23.6,1
6779,"M","STOCK","FAM","BALBM","Unpassaged","HK68BALB","BALB/C","Stock",0,26.5,1
7068,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,23,1
7069,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,21.2,1
7070,"F","STOCK","FAM","BL6F","Unpassaged","HK68BL6","C57BL/6","Stock",0,21.3,1
